venue,innings,batting_team,bowling_team,striker,bowler,total_runs
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['RT Ponting', 'BB McCullum', 'SC Ganguly']","['AA Noffke', 'Z Khan', 'P Kumar']",54
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['W Jaffer', 'JH Kallis', 'CL White', 'R Dravid', 'V Kohli', 'MV Boucher']","['AB Dinda', 'AB Agarkar', 'I Sharma']",25
"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,"['PA Patel', 'MEK Hussey', 'ML Hayden']","['JR Hopes', 'S Sreesanth', 'B Lee']",53
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,"['K Goel', 'JR Hopes']","['JDP Oram', 'MS Gony']",56
Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,"['T Kohli', 'SR Watson', 'YK Pathan', 'M Kaif']","['B Geeves', 'MF Maharoof', 'GD McGrath']",34
Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,"['S Dhawan', 'G Gambhir', 'V Sehwag']","['SK Trivedi', 'SR Watson', 'MM Patel']",55
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"['DJ Thornely', 'ST Jayasuriya', 'RV Uthappa', 'L Ronchi', 'PR Shah']","['JH Kallis', 'Z Khan', 'P Kumar']",41
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"['R Dravid', 'S Chanderpaul', 'LRPL Taylor']","['A Nehra', 'SM Pollock', 'DS Kulkarni']",40
Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,"['AC Gilchrist', 'A Symonds', 'Y Venugopal Rao', 'VVS Laxman']","['AB Dinda', 'AB Agarkar', 'I Sharma']",33
Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,"['SC Ganguly', 'WP Saha', 'RT Ponting', 'DJ Hussey', 'BB McCullum']","['SB Styris', 'WPUJC Vaas', 'RP Singh']",26
Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,"['K Goel', 'KC Sangakkara', 'JR Hopes']","['SK Trivedi', 'SR Watson', 'MM Patel']",54
Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,"['DS Lehmann', 'Kamran Akmal', 'M Kaif', 'SR Watson', 'YK Pathan']","['JR Hopes', 'S Sreesanth', 'B Lee']",37
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,"['AC Gilchrist', 'A Symonds', 'Y Venugopal Rao', 'VVS Laxman']","['Mohammad Asif', 'GD McGrath']",25
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,"['S Dhawan', 'G Gambhir', 'V Sehwag']","['WPUJC Vaas', 'RP Singh']",44
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,"['PA Patel', 'MEK Hussey', 'SK Raina', 'ML Hayden']","['A Nehra', 'SM Pollock', 'DS Kulkarni']",50
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,"['RV Uthappa', 'SM Pollock', 'L Ronchi', 'ST Jayasuriya']","['JDP Oram', 'MS Gony']",51
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,"['AC Gilchrist', 'A Symonds', 'Shahid Afridi', 'VVS Laxman']","['SR Watson', 'YK Pathan', 'MM Patel']",57
"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,"['GC Smith', 'YK Pathan', 'Kamran Akmal']","['WPUJC Vaas', 'RP Singh', 'PP Ojha']",69
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,"['K Goel', 'KC Sangakkara', 'IK Pathan']","['A Nehra', 'SM Pollock', 'DS Kulkarni']",53
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,"['RV Uthappa', 'DJ Bravo', 'L Ronchi', 'ST Jayasuriya']","['S Sreesanth', 'B Lee', 'IK Pathan', 'VRV Singh']",39
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"['R Dravid', 'S Chanderpaul', 'LRPL Taylor', 'JH Kallis']","['Sohail Tanvir', 'SR Watson', 'MM Patel']",51
M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"['M Rawat', 'SR Watson', 'GC Smith', 'YK Pathan']","['R Vinay Kumar', 'Z Khan', 'P Kumar']",45
